,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
22,8110,True,a,2018-02-18 19:45:00,w,153,Real Betis,BET,150,Real Madrid,RMA,3,5,2.46741,1.84168,0.5197018522688513,0.19101926536387667,0.2892788225239879
23,8037,True,a,2018-02-21 17:45:00,w,159,Leganes,LEG,150,Real Madrid,RMA,1,3,1.18808,1.95404,0.22909595070257904,0.2190635328207681,0.5518405136225373
24,8120,True,h,2018-02-24 15:15:00,w,150,Real Madrid,RMA,158,Alaves,ALA,4,0,3.51278,0.615652,0.8925840637770602,0.07497281559212134,0.03243866971641525
25,8133,True,a,2018-02-27 19:00:00,l,141,Espanyol,ESP,150,Real Madrid,RMA,1,0,0.787948,1.10507,0.2588803754746916,0.3132305840281126,0.42788904049596876
26,8142,True,h,2018-03-03 19:45:00,w,150,Real Madrid,RMA,142,Getafe,GET,3,1,2.0181,0.840741,0.6480603876199498,0.20454251589845884,0.14739709212413812
27,8152,True,a,2018-03-10 12:00:00,w,156,Eibar,EIB,150,Real Madrid,RMA,1,2,1.39288,1.79681,0.2992150889675829,0.2297920738259362,0.4709928362388992
28,8163,True,h,2018-03-18 19:45:00,w,150,Real Madrid,RMA,223,Girona,GIR,6,3,3.51065,1.69932,0.7166433431145784,0.13426987161287426,0.14908236554522153
29,8173,True,a,2018-03-31 00:00:00,w,144,Las Palmas,LPL,150,Real Madrid,RMA,0,3,0.91426,3.88382,0.04443967556915254,0.07640228096478857,0.8791437876508182
30,8188,True,h,2018-04-08 14:15:00,d,150,Real Madrid,RMA,143,Atletico Madrid,ATL,1,1,2.34722,1.29841,0.6077748052967031,0.1912369408170045,0.2009882229294624
31,8194,True,a,2018-04-15 18:45:00,w,137,Malaga,MAL,150,Real Madrid,RMA,1,2,1.18107,2.29821,0.18424625957091656,0.19166971367212632,0.6240840031546525
